"how would you say fly in italian","85"
"what's the spanish word for pasta","85"
"how would they say butter in zambia","85"
"how do you say fast in spanish","85"
"what's the word for trees in norway","85"
"how does one say wonderful in german","85"
"how do they say tacos in mexico","85"
"how would one say cruiser in china","85"
"what's the french word you use for potato","85"
"what would the word for grass be in finland","85"
"how do you say please in french","85"
"how would i say nice to meet you if i were russian","85"
"what is the right way to say excuse me in spanish","85"
"how do i say i'm sorry in chinese","85"
"how would i say thank you if i were mexican","85"
"how would i say what is your name if i were french","85"
"how would i say i must be going now if i were german","85"
"how do i say bathroom in italian","85"
"how might i say hello if i were scottish","85"
"i must know how to say thank you in german","85"
"how would i say i love you if i were german","85"
"how would i say how are you today if i were mexican","85"
"how would i say where is the bathroom if i were korean","85"
"how would i say i need directions if i were french","85"
"how would i say i am lost if i were japanese","85"
"english to spanish for dog","85"
"what is dog in spanish","85"
"how do you say dog in spanish","85"
"dog in spanish","85"
"what's the spanish word for dog","85"
"can you please provide me with assistance in moving money from one account to another","108"
"i would like help moving money between accounts","108"
"can you assist me in moving money from one account to another","108"
"i would like help moving money from one account to another","108"
"i would like assistance moving money from one account to another","108"
"can i move some money around","108"
"can i make a transfer between my accounts","108"
"i need to make a transfer of my money","108"
"can i move some money between my two accounts","108"
"i would like to distribute some money between my accounts","108"
"i would like to transfer $100 from my checking to saving account","108"
"help me transfer $100 from my checking to saving account","108"
"transfer $100 from my checking to saving account","108"
"can you please help me move $100 from my checking to saving account","108"
"please move $100 from my checking to saving account","108"
"transfer seventeen dollars from rbs to woodforest account, please","108"
"send twelve dollars between cabelas and bank of london accounts, please","108"
"transfer ninety dollars between glacier checking and farmers accounts, please","108"
"transfer seventy dollars between national and citizens accounts","108"
"transfer four and sixty seven dollars from bank of oklahoma checking to security bank account","108"
"how much money can i transfer today","108"
"add funds to the retirement account from the pnc account only","108"
"would you move 100 dollars from the checking and put it into savings","108"
"repeat what the weather will be like","108"
"i would like to put 100 dollars from the checking into the savings account now","108"
"please transfer $5000 to money market from checking account","108"
"i need $360 transfered from savings to checking account","108"
"make an immediate transfer of ten thousand from money market to checking","108"
"i'd like to transfer $400 from household to savings account","108"
"transer $800 from my checking to savings account","108"
"set a 4 minute timer","127"
"set a 2 minute timer","127"
"set a 3 minute timer","127"
"set a 5 minute timer","127"
"set a 1 minute timer","127"
"who set up the numbers for it","127"
"start the timer","127"
"start a timer please","127"
"i need to start a timer","127"
"i need a timer to be set","127"
"could you set a timer","127"
"set a timer","127"
"i need to have a timer for 10 minutes","127"
"make a 10 minute timer","127"
"give me a 10 minute timer","127"
"will you create a timer for me","127"
"please begin a timer","127"
"is it possible to set a timer","127"
"i want a timer set for 10 minutes","127"
"set a timer for 10 minutes","127"
"can i get a timer set","127"
"i need to use a timer","127"
"set a timer to go off in 1 hour","127"
"i need a timer for 45 minutes","127"
"in 15 minutes the timer should go off","127"
"start the timer now","127"
"set a timer for 30 minutes","127"
"set a timer for 5 minutes from now","127"
"let me know when it's been 5 minutes","127"
"can you set the timer to 20 minutes","127"
"define antebellum","135"
"define discontent","135"
"what is the meaning of incandescent","135"
"what does confrontation mean","135"
"what does serendipity mean","135"
"what's the definition of luminescent","135"
"what is the definiton of auspicious","135"
"what does circuitous mean","135"
"what's the definition of unencumbered","135"
"what does adulation mean","135"
"what does assiduous mean","135"
"what does amicable mean","135"
"what's the definition of remunerative","135"
"what does anachronistic mean","135"
"what's the definition of idiosyncratic","135"
"what does yolo mean","135"
"can you tell me the meaning of fluctuate","135"
"what does the word polynomial mean","135"
"what does ferrari mean","135"
"what is the meaning of the word girn","135"
"what does mature mean","135"
"i'd like to know what bitcoin means","135"
"i heard some woman say she was going to yerd me, what's that mean","135"
"can you tell me what obsolescence means","135"
"please explain the word catastrophic to me","135"
"what's the meaning of naff","135"
"can you tell me what dendrofilous means","135"
"what does peer-to-peer actually mean","135"
"define epicurean","135"
"what does epicurean mean","135"
"would you let me know what the meaning is life is","82"
"would you let me know what is the point of life","82"
"right now, i need to know the meaning of life","82"
"define the meaning of life for me","82"
"i want to know the meaning of life","82"
"would you explain the meaning of life","82"
"i need you to tell me the meaning of life","82"
"i need to know what the meaning of life is now","82"
"tell me what the meaning of life is","82"
"i need to know what the point of life is","82"
"let me know what the point of life is","82"
"would you provide me with what the point of life is","82"
"tell me what the point of life is","82"
"what is the reason humans even exist","82"
"do you think our lives have purpose or meaning","82"
"can you tell me about the meaning of life","82"
"can you tell me what the meaning of life is","82"
"what do you know about the meaning of life","82"
"i would like information on the meaning of life","82"
"what information can you give me on the meaning of life","82"
"what is the core meaning of life","82"
"what do you know about lifes meaning","82"
"is there any consensun regarding lifes true meaning","82"
"is there a reason beyond biology about why humans are alive","82"
"do you think being alive has any meaning","82"
"is there meaning to life","82"
"is there meaning in life","82"
"what is the answer to life","82"
"what's the answer to it all","82"
"what's life mean to you","82"
"i would like to change my insurance policy","31"
"can i edit my insurance policy","31"
"i am interested in a new insurance plan","31"
"i really would like to get a new insurance plan","31"
"i am in the market for a new insurance plan","31"
"is there a way to alter my insurance policy","31"
"how can i change to new insurance plan","31"
"help me find a new insurance plan","31"
"can i update my insurance policy","31"
"who do i contact about updating my insurance","31"
"can you help me change my insurance policy","31"
"i need to change my insurance policy, do you know how","31"
"what are the steps to change my insurance policy","31"
"do you know how i can change my insurance policy","31"
"how to i change the policy on my insurace","31"
"what do i need to do to get new insurance","31"
"do you know how i get new insurance","31"
"what is the protocol for getting new insurance","31"
"let me know the process for new insurance","31"
"i want to sign up for a new allstate insurance plan","31"
"i need to sign up for a new allstate plan","31"
"what is the procedure for signing up for a new allstate plan","31"
"how do i sign up for a new allstatedplan","31"
"i want to change to a new allstate insurance plan","31"
"i want a new insurance plan","31"
"what if i want to switch insurance plans","31"
"is there a way to get a new insurance plan","31"
"i want to switch to a new insurance plan","31"
"how do i switch insurance plans","31"
"phone number to state farm to change insurance","31"
"can you help me find my phone, please","9"
"could you help me locate my phone","9"
"can you help me locate my phone","9"
"could you help me locate my phone, please","9"
"can you help me locate my phone, please","9"
"i cannot locate my phone, can you help me","9"
"i need help locating my phone","9"
"can you assist me with finding my phone","9"
"i lost my phone can you help me","9"
"where the bleep did i put my bleeping phone","9"
"is my phone somewhere around here","9"
"help, i've lost my cellphone!","9"
"i seem to have lost my phone","9"
"do you know my phone's location","9"
"can you find my phone","9"
"where's my phone at","9"
"what's my phone's location","9"
"can you help me hunt for my missing cellphone","9"
"locate my cellphone in this room","9"
"where did i last put my phone","9"
"find my cellphone for me!","9"
"where did i place my phone","9"
"where's my phone","9"
"my phone isn't where i left it","9"
"i think i've misplaced my phone","9"
"i've lost my phone somewhere","9"
"i think i lost my phone","9"
"would you know where to find my phone","9"
"please assist me in looking for my phone","9"
"look for my phone with me","9"
"is there a travel alert in spain","100"
"travel alert in cuba","100"
"alerts for travel in colombia","100"
"are there travel alerts in mexico","100"
"mexico travel alerts","100"
"have there been any travel alerts for the us","100"
"are there any travel advisories for the us","100"
"what are the travel alerts for the us","100"
"are there travel alerts for the us","100"
"what travel alerts are in effect for the us","100"
"i want to know if i will be safe if i travel to europe","100"
"would i be safe if i traveled to japan","100"
"is it safe to go to north korea","100"
"will i be safe going to south america","100"
"am i safe to go to africa","100"
"which countries have travel alerts","100"
"is it safe in italy","100"
"what are the travel conditions for haiti","100"
"are there any travel bulletins about haiti","100"
"note any travel alerts for haiti","100"
"find travel alerts for haiti","100"
"does the state department say anything about traveling to haiti","100"
"is there a travel alert for france","100"
"is it safe for me to go to turkey","100"
"is it safe to go to serbia","100"
"safety concerns for malaysia","100"
"is it safe for me to visit malawi","100"
"is travel to monterrey safe now","100"
"is it safe for people to travel to pakistan","100"
"can people safely travel to cambodia","100"
"please help me set up a vacation request","137"
"how does one go about putting in a vacation request","137"
"how do i put in a vacation request","137"
"walk me through on how to make a vacation request","137"
"please put in a vacation request","137"
"how is a vacation request done","137"
"how is a vacation request made","137"
"what is the process of making a vacation request","137"
"how would one make a vacation request","137"
"can i put in a pto request for september 1st to september 8th","137"
"if i want to make a vacation request, how do i do it","137"
"can i put in a pto request for august 1st to august 10th","137"
"can i put in a pto request for january 4th to january 9th","137"
"can i put in a pto request for december 3rd to december 10th","137"
"can i put in a pto request for december 25th to january 1st","137"
"can i take pto from the end of the month to the 5th of the next month","137"
"can you help me plan a vacation","137"
"it it possible to take pto from the 8th to the 11th","137"
"is it ok if i use some of my pto on may 24th to may 29th","137"
"what do i do to set up a vacation","137"
"i need to use pto on october 5th to october 10th","137"
"how do i plan a vacation","137"
"can i put in a pto request for monday to wednesday","137"
"can i purchase a vacation using this","137"
"how do i get help with a vacation itinerary","137"
"how do i request a vacation","137"
"i'd like to request a vacation","137"
"i need to request a vacation","137"
"vacation request information","137"
"vacation request please","137"
"how can i increase my credit score","42"
"how can i raise my credit score","42"
"how can i contribute to my credit score","42"
"how is it possible to get a better credit score","42"
"how can i up my credit score","42"
"can you explain to me how i might boost my credit score","42"
"my credit score stinks but i don't know how to improve it","42"
"what preventative measures can i take to avoid a low credit score","42"
"how can i keep my credit score from falling","42"
"give me some ideas for boosting my credit score","42"
"how can i prevent my credit score from dropping","42"
"what steps can i take to build my credit score","42"
"give me some tips on building up my credit score","42"
"how can i rehabilitate my poor credit score","42"
"give me some ideas of how to avoid my credit score lowering","42"
"give me tips on improving my credit score","42"
"what steps should i take if i want to ensure my credit score doesn't drop","42"
"can you tell me some strategies for raising my credit score","42"
"i want to know how i can build up a good credit score","42"
"""what's the method to improve credit score","42"
"""which is the best way to improve the credit score","42"
"""which could be improve the credit score","42"
"""when the credit score improve","42"
"""where is improve the credit score","42"
"it is damaging to my credit score if i miss one credit card payment","42"
"i have a revolving store card and defaulted so will my fico score be affected","42"
"will my fico score decrease if i increase my student loan debt","42"
"if i lose my job will my credit score go down","42"
"can i hurt my credit rating if i open several credit cards in a short time frame","42"
"will only having five late payments really make my credit bad","42"
"name unusual facts about the circus","38"
"i need interesting baseball trivia from the nineteen eighties","38"
"tell me a fun fact about cars","38"
"give me a fun fact about kangaroo","38"
"give me a fun fact about koala","38"
"give me a fun fact about dolphin","38"
"what is some trivia about frog","38"
"tell me fun facts of today","38"
"give me something interesting about stars","38"
"what is some trivia question about coffee","38"
"tell me some trivia about sweat","38"
"tell me some trivia about dolphin","38"
"what is some trivia about the weather","38"
"give me a fun fact about komodo dragon","38"
"give me a amusing fact about wolf","38"
"what is the interesting trivia about human bodies","38"
"i want to learn something about apples","38"
"tell me today's fun fact","38"
"i want today's fun fact please","38"
"what is today's fun fact","38"
"today's fun fact","38"
"i want a fun fact about london","38"
"tell me something interesting about bees","38"
"i would you like to learn something interesting about bees","38"
"i want to hear cool bee facts","38"
"what's something interesting about bees","38"
"i wanna hear something cool about bees","38"
"tell me fun facts on science topics","38"
"tell me fun science facts","38"
"i want to know fun facts about koala bears","38"
"please speak in tagalog","25"
"speak in german","25"
"speak to me in dutch","25"
"speak in french please","25"
"speak spanish please","25"
"i am not understanding the language you are responding in; switch it for me","25"
"i can't understand the language you are responding in; i need you to switch it","25"
"i need you to switch the language you are responding as i don't understand","25"
"i don't understand your language; switch the language","25"
"i need you to switch the language you are responding in","25"
"i'd like to speak in portuguese","25"
"can we speak in german","25"
"i want to use spanish with you","25"
"please let's speak in spanish","25"
"please can we speak in dutch","25"
"can you make the default language swedish","25"
"is it possible to talk to you in mandarin","25"
"would you understand me if i speak to you in navajo","25"
"i'd like the language to be in spanish","25"
"i'd like to use you using russian","25"
"can i speak spanish to you hombre","25"
"i want to start talking to you in swedish","25"
"can i get you to change your language setting to russian","25"
"please make your language setting norwegian","25"
"i am going to speak english now","25"
"do you speak english","25"
"i want to talk english","25"
"we have to speak in english","25"
"speak in dutch","25"
"i want to speak to you in swiss german","25"
"how long until my paycheck shows up","59"
"can you tell me the date of my last check","59"
"what was the date when i last go paid","59"
"what's the date on my last pay stub","59"
"when can i expect my paycheck","59"
"when is the next time i'll receive a paycheck","59"
"when did i last collect my salary","59"
"when do i next get paid","59"
"when is my paycheck arriving","59"
"what day is payday","59"
"do you know when my next check is coming","59"
"when do i get my next paycheck","59"
"when's pay day for me","59"
"i need to know when i get paid next","59"
"when's my next pay day","59"
"what day's my pay coming next","59"
"when do i get paid for my work","59"
"look up when my payday is supposed to be","59"
"when can i expect to be paid","59"
"look up the date for my next payday","59"
"what day will i earn my payment from work","59"
"find out when my next upcoming payday will be","59"
"when is the next payday i can look forward to","59"
"what day can i expect to receive payment on","59"
"when will my next paycheck be coming","59"
"when will my payment be deposited","59"
"when do i get my next pay check","59"
"is it payday","59"
"do you know when i'll receive my next paycheck","59"
"what date do i get paid","59"
"how long does it take for a credit card to be reissued and mailed to me","115"
"can credit card companies expedite delivery of reissued credit cards","115"
"can you call the help desk line for my credit card company","115"
"how can i request a new credit card","115"
"what's the phone number for my credit card company","115"
"i recently lost my credit card and need to know how long it takes to get a new one mailed to me","115"
"i need to know the time it takes to get a new credit card sent to someone who lost theirs","115"
"i lost my credit card recently  how long does take to get a new one in the mail","115"
"what is amount of time it takes to get a new credit card i lost mine recently","115"
"what is the time frame for sending a customer who lost their credit card a new one","115"
"will i get getting my new card anytime soon","115"
"what is the shipping status of my replacement card","115"
"how long until i get my replacement card","115"
"when is my new card expected to arrive","115"
"is my replacement card due to arrive in the mail today","115"
"how long before my new card is mailed to me","115"
"what is the shipping time for my card","115"
"how much time before my new card is mailed to me","115"
"how long does it take to get a new credit card","115"
"time to order and receive a new credit card","115"
"when will i received a replacement card","115"
"time to replace my credit card","115"
"how long before the replacement card is mailed to me","115"
"how much longer before the card is mailed to me","115"
"how long will it takes to get a new credit card","115"
"what is the shipping wait for my card","115"
"when will the replaecment card arrive","115"
"let me know the wait on a replacement credit card","115"
"let me know when the replacement card will arrive","115"
"how soon can i expect a replacement card for my lost card to arrive","115"
"i need you to tell me what time it is in new york now","151"
"what time is it in adelaide, australia right now","151"
"is it after noon","151"
"is it six o clock yet","151"
"please give me the time in tanzania at this moment","151"
"can you tell me the current time in jamaica","151"
"tell me the time in san francisco, please","151"
"what time is it right now in adelaide, australia","151"
"what time is it in the eastern timezone","151"
"what time is it in the mountain timezone","151"
"what time is it in the greenwich timezone","151"
"what time is it in the central timezone","151"
"tell me what the time is in dallas","151"
"what is the current time in dallas","151"
"can you tell me what time it is in dallas","151"
"what time is it in dallas","151"
"tell time for another city: dallas","151"
"what time is it right now at home","151"
"what’s the time in new york","151"
"tell me the time in california","151"
"tell me the time in las vegas","151"
"what is the time is central time zone","151"
"what is the time in the usa","151"
"what is the time in est","151"
"whats the exact time","151"
"what is the current time","151"
"what's the current time","151"
"what time is it in california","151"
"please give me the time","151"
"the time is what","151"
"how is the status of my credit card application coming along","89"
"what exactly is the status of my application for the credit card","89"
